frame,read,detect,crop,infer,e2e_ms,output
447,0.956,7.7007,0.572,2.2317,11.4604,0.232507
448,0.9662,7.7902,0.5729,2.2548,11.5841,0.236355
449,0.9608,7.8231,0.5985,2.234,11.6164,0.260762
450,0.9733,7.7728,0.5574,2.2696,11.5731,0.18907
451,0.8997,7.9662,0.5718,2.2692,11.707,0.151085
452,0.9301,7.833,0.5649,2.2688,11.5968,0.186926
453,0.9589,7.7386,0.5679,2.2723,11.5378,0.223087
454,0.9659,7.818,0.5579,2.2653,11.6071,0.210846
455,0.9051,7.7306,0.5686,2.2906,11.4949,0.252226
456,0.9345,7.899,0.5693,2.283,11.6859,0.224976
457,0.9701,7.7188,0.5681,2.2294,11.4864,0.183524
458,0.9861,7.7275,0.5541,2.2355,11.5032,0.196369
459,0.9421,7.6528,0.5821,2.2298,11.4069,0.150345
460,0.9246,7.9372,0.5829,2.2308,11.6755,0.207055
461,0.9555,7.7309,0.5553,2.2646,11.5063,0.331704
462,0.9623,7.8054,0.5689,2.2657,11.6023,0.274773
463,0.9121,7.7594,0.5716,2.257,11.5,0.20346
464,0.9399,7.8052,0.5603,2.2565,11.562,0.277521
465,0.9666,7.7504,0.5665,2.2736,11.557,0.276484
466,0.9738,7.7587,0.5533,2.23,11.5158,0.292957
467,0.8963,7.6979,0.5671,2.2435,11.4049,0.08241
468,0.9652,7.7942,0.5594,2.2157,11.5346,0.081853
469,0.9958,7.6822,0.5845,2.2232,11.4856,0.052236
470,0.9568,8.0615,0.587,2.233,11.8383,0.052777
471,0.9024,7.7776,0.5728,2.2692,11.5221,0.055196
472,0.9428,7.7734,0.5713,2.2662,11.5538,0.050081
473,0.9685,7.792,0.5688,2.258,11.5873,0.049696
474,0.9643,7.7271,0.5642,2.2629,11.5185,0.035322
475,0.9005,7.7994,0.5643,2.2629,11.5271,0.040201
476,0.932,7.8317,0.5516,2.2769,11.5923,0.170353
477,0.969,7.7871,0.559,2.2341,11.5492,0.195375
